id,source,pmid,doi,title,authorString,pubYear,pageInfo,affiliation,language,pubModel,isOpenAccess,inEPMC,inPMC,hasPDF,hasBook,citedByCount,hasReferences,hasTextMinedTerms,hasDbCrossReferences,hasLabsLinks,authMan,epmcAuthMan,nihAuthMan,hasTMAccessionNumbers,dateOfCompletion,dateOfCreation,dateOfRevision,electronicPublicationDate,firstPublicationDate,pmcid,abstractText,hasSuppl,manuscriptId,license,embargoDate
27288042,MED,27288042,10.1159/000446910,Right Heart Pressure Transients and Pulmonary Venous Pressure.,Gaasch WH.,2016,77-80,"Department of Cardiovascular Medicine, Lahey Hospital and Medical Center, Burlington, Mass., and Tufts University School of Medicine, Boston, Mass., USA.",eng,Print-Electronic,N,N,N,N,N,0,N,N,N,N,N,N,N,N,2018-01-23,2016-06-12,2018-01-23,2016-06-10,2016-06-10,NA,NA,NA,NA,NA,NA
26026358,MED,26026358,10.1053/j.jvca.2015.02.022,The Heart: Pressure-Propulsion Pump or Organ of Impedance?,Furst B.,2015,1688-1701,"Department of Anesthesiology, Albany Medical College, Albany, NY. Electronic address: bfurst@berk.com.",eng,Print-Electronic,N,N,N,N,N,1,N,N,N,Y,N,N,N,N,2016-09-30,2015-12-26,NA,2015-02-20,2015-02-20,NA,NA,NA,NA,NA,NA
24183542,MED,24183542,10.1016/j.echo.2013.09.016,Doppler echocardiography inaccurately estimates right ventricular pressure in children with elevated right heart pressure.,"Groh GK, Levy PT, Holland MR, Murphy JJ, Sekarski TJ, Myers CL, Hartman DP, Roiger RD, Singh GK.",2014,163-171,"Department of Pediatrics, Washington University School of Medicine, St. Louis, Missouri.",eng,Print-Electronic,N,Y,N,Y,N,9,Y,Y,N,Y,Y,N,Y,N,2014-09-09,2014-01-28,2016-10-19,2013-10-30,2013-10-30,PMC3946813,"Doppler echocardiography (DE) is widely used as a surrogate for right heart catheterization (RHC), the gold standard, to assess and monitor elevated right heart pressure in children. However, its accuracy has not been prospectively validated in children. The objectives of this study were to evaluate the accuracy of DE in predicting simultaneously measured right ventricular (RV) pressure by RHC in pediatric patients and to determine if the degree of RV hypertension affects the accuracy of DE in assessing right heart pressure.Eighty children (age range, 0-17.9 years; median age, 5.5 years) with two-ventricle physiology and a wide range of right heart pressures underwent simultaneous DE and RHC. The pressure gradient between the right ventricle and the right atrium was directly measured by RHC and simultaneously estimated by DE using tricuspid regurgitation. Patients were then grouped on the basis of RHC-measured RV systolic pressure (RVSP): group 1 (n = 43), with RVSP < 1/2 systemic systolic blood pressure (SBP); group 2 (n = 37), with RVSP ≥ 1/2 SBP; group 3 (n = 56), with RVSP < 2/3 SBP; and group 4 (n = 24), with RVSP ≥ 2/3 SBP. Correlation and Bland-Altman analyses were performed on all groups. Accuracy was predefined as 95% limits of agreement within ±10 mm Hg.Despite a reasonable correlation between DE and RHC in all groups, there was poor agreement between techniques as RVSP/SBP increased. DE was inaccurate in one of 43 patients in group 1 (2%) versus nine of 37 in group 2 (24%) and was inaccurate in one of 56 patients in group 3 (2%) versus eight of 24 in group 4 (33%). Overestimation and underestimation occurred equally in all groups.DE inaccurately estimates RV pressure in children with elevated right heart pressure. It should not be relied on as the sole method of assessing right heart hemodynamics in children with RV hypertension.",N,NIHMS537259,NA,NA
24429675,MED,24429675,10.1093/ajh/hpt269,SGK-1 regulates inflammation and cell death in the ischemic-reperfused heart: pressure-related effects.,"Baban B, Liu JY, Mozaffari MS.",2014,846-856,"Department of Oral Biology, College of Dental Medicine, Georgia Regents University, Augusta, Georgia, USA.",eng,Print-Electronic,N,N,N,N,N,3,Y,N,Y,Y,N,N,N,N,2014-12-29,2014-05-13,NA,2014-01-15,2014-01-15,NA,"BACKGROUND: Systemic hypertension and the associated increased myocardial load/mechanical stress are common in patients with coronary heart disease. Thus, unraveling of mechanosensitive molecular mechanisms that determine cell fate in the setting of cardiac tissue injury is of scientific and clinical relevance. We tested the hypothesis that the prosurvival, mechanosensitive, serum glucocorticoid-regulated kinase-1 (SGK-1) is a pivotal determinant of pressure-related inflammatory response and cell fate in the ischemic-reperfused heart. METHODS: Langendorff-perfused rat hearts were subjected to an ischemia reperfusion (IR) insult, at 80 or 160cm water, with perfusate lacking or containing the SGK-1 inhibitor GSK650394A (1 μM); normoxic hearts served as controls. Thereafter, hearts tissues were used for Western blotting or cardiac cells were prepared for flow cytometry and immunofluorescent studies. RESULTS: An IR insult (i) reduced phosphoSGK-1 (active and protective) in association with disruption of mitochondrial membrane potential (ψm) and increased apoptosis and necrosis and (ii) increased expressions of growth-arrest and DNA damage-associated protein 153 (GADD153; a determinant of inflammation and cell death) and the proinflammatory cytokine interleukin (IL) 17; these effects were greater at high pressure. On the other hand, the anti-inflammatory cytokines IL-10 and IL-27 increased more in ischemic-reperfused hearts subjected to low pressure. SGK-1 inhibition further reduced phosphoSGK-1, increased GADD153 and IL-17, and reduced IL-10 and IL-27 in association with augmented disruption of ψm and exacerbated cell death; these effects were greater at low pressure. CONCLUSIONS: The results indicate a major pressure-related role for SGK-1 in regulating inflammation and cell fate in the ischemic-reperfused heart.",NA,NA,NA,NA
24438751,MED,24438751,10.1016/j.echo.2013.11.017,Doppler echocardiography inaccurately estimates right ventricular pressure in children with elevated right heart pressure.,DeGroff CG.,2014,342,"Congenital Heart Center, University of Florida, Gainesville, Florida.",eng,Print-Electronic,N,N,N,N,N,0,Y,N,N,N,N,N,N,N,2014-11-06,2014-02-25,NA,2014-01-14,2014-01-14,NA,NA,NA,NA,NA,NA
29433385,MED,29433385,10.1080/19932820.2018.1433418,Intravenous lidocaine as adjuvant to general anesthesia in renal surgery.,"Nakhli MS, Kahloul M, Guizani T, Zedini C, Chaouch A, Naija W.",2018,1433418,"a Department of Anesthesia and Intensive Care , Sahloul Teaching Hospital; Faculty of Medicine 'Ibn El Jazzar' , Sousse , Tunisia.",eng,Print,Y,Y,N,Y,N,0,Y,Y,N,N,N,N,N,N,NA,2018-02-14,2018-02-22,NA,2018-12-01,PMC5814763,"The role of intraoperative intravenous lidocaine infusion has been previously evaluated for pain relief, inflammatory response, and post-operative recovery, particularly in abdominal surgery. The present study is a randomized double-blinded trial in which we evaluated whether IV lidocaine infusion reduces isoflurane requirement, intraoperative remifentanil consumption and time to post-operative recovery in non-laparoscopic renal surgery. Sixty patients scheduled to undergo elective non-laparoscopic renal surgery under general anesthesia were enrolled to receive either systemic lidocaine infusion (group L: bolus 1.5 mg/kg followed by a continuous infusion at the rate of 2 mg/kg/hr until skin closure) or normal saline (0.9% NaCl solution) (Group C). The depth of anesthesia was monitored using the Bispectral Index Scale (BIS), which is based on measurement of the patient's cerebral electrical activity. Primary outcome of the study was End-tidal of isoflurane concentration (Et-Iso) at BIS values of 40-60. Secondary outcomes include remifentanil consumption during the operation and time to extubation. Et-Iso was significantly lower in group L than in group C (0.63% ± 0.10% vs 0.92% ± 0.11%, p < 10-3). Mean remifentanil consumption of was significantly lower in group L than in group C (0.13 ± 0.04 µg/kg/min vs 0.18 ± 0.04 µg/kg/min, p < 10-3). Thus, IV lidocaine infusion permits a reduction of 31% in isoflurane concentration requirement and 27% in the intraoperative remifentanil need. In addition, recovery from anesthesia and extubation time was shorter in group L (5.8 ± 1.8 min vs 7.9 ± 2.0 min, p < 10-3). By reducing significantly isoflurane and remifentanil requirements during renal surgery, intravenous lidocaine could provide effective strategy to limit volatile agent and intraoperative opioids consumption especially in low and middle income countries.",N,NA,cc by-nc,NA
29405888,MED,29405888,10.1080/22423982.2017.1421351,Cardiovascular dynamics of Canadian Indigenous peoples.,"Foulds HJA, Bredin SSD, Warburton DER.",2018,1421351,"a Cardiovascular Physiology and Rehabilitation Laboratory , University of British Columbia , Vancouver , Canada.",eng,Print,Y,Y,N,Y,N,0,Y,Y,N,N,N,N,N,N,NA,2018-02-07,2018-02-14,NA,2018-12-01,PMC5804726,"Limited understanding of Indigenous adults' cardiovascular structure and function exists despite high rates of cardiovascular disease. This investigation characterised cardiovascular structure and function among young Indigenous adults and compared to age- and sex-matched European descendants. Echocardiographic assessments included apical two- and four-chamber images, parasternal short-axis images and Doppler. Analyses included cardiac volumes, dimensions, velocities and strains. Cardiovascular structure and function were similar between Indigenous (n=10, 25 ± 3 years, 4 women) and European-descendant (n=10, 24 ± 4 years, 4 women,) adults, though European descendants demonstrated greater systemic vascular resistance (18.19 ± 3.94 mmHg∙min-1∙L-1 vs. 15.36 ± 2.97 mmHg∙min-1∙L-1, p=0.03). Among Indigenous adults, women demonstrated greater arterial elastance (0.80 ± 0.15 mmHg·mL-1·m-2 vs. 0.55 ± 0.17 mmHg·mL-1·m-2, p=0.02) and possibly greater systemic vascular resistance (17.51 ± 2.20 mmHg∙min-1∙L-1 vs. 13.93 ± 2.61 mmHg∙min-1∙L-1, p=0.07). Indigenous men had greater cardiac size, dimensions and output, though body size differences accounted for cardiac size differences. Similar cardiac rotation and strains were observed across sexes. Arterial elastance and cardiac size were different between Indigenous men and women while cardiovascular structure and function may be similar between Indigenous and European descendants.",N,NA,cc by,NA
29656696,MED,29656696,10.1080/22423982.2018.1459145,"The impact of changes in leisure time physical activity on changes in cardiovascular risk factors: results from The Finnmark 3 Study and SAMINOR 1, 1987-2003.","Hermansen R, Broderstad AR, Jacobsen BK, Mähönen M, Wilsgaard T, Morseth B.",2018,1459145,"a Department of Community Medicine , UiT The Arctic University of Norway , Tromsø , Norway.",eng,Print,N,N,N,N,N,0,N,N,N,N,N,N,N,N,NA,2018-04-17,2018-04-26,NA,2018-12-01,NA,"The aim of this study was to examine the associations between changes in leisure time physical activity and changes in cardiovascular risk factors over 16 years and whether they differ between two ethnic groups in Norway.Data were extracted from two population-based studies. Altogether, 3671 men and women participated in both surveys, and 30% reported being of Sami ethnicity. Leisure time physical activity was self-reported, and cardiovascular risk factors were measured. ANCOVA analysis was used to examine associations between changes in physical activity and changes in cardiovascular risk factors.After adjustment for age, sex, smoking, ethnicity and respective baseline values, favourable changes in body mass index (BMI) and levels of triglycerides were most pronounced in those who were active in both surveys (p < 0.05) whereas the opposite was the situation for cholesterol levels (p = 0.003). Changes in systolic blood pressure, diastolic blood pressure and resting heart rate were not significantly associated with change in physical activity. Ethnicity did not influence the associations between physical activity and cardiovascular risk factors.Traditional cardiovascular risk factors were to a small extent associated with change in leisure time physical activity. Persistent physical activity was associated with beneficial changes in BMI and triglycerides.",NA,NA,NA,NA
29393709,MED,29393709,10.1080/13814788.2018.1429594,Challenges for clinical practice and research in family medicine in reducing the risk of chronic diseases. Notes on the EGPRN Spring Conference 2017 in Riga.,"Silina V, Kalda R.",2018,112-117,"a Department of Family Medicine , Riga Stradins University , Riga , Latvia.",eng,Print,Y,Y,N,Y,N,0,Y,Y,N,Y,N,N,N,N,NA,2018-02-03,2018-03-01,NA,2018-12-01,PMC5804728,"Chronic diseases in most cases belong to the category of non-communicable diseases (NCDs), which are the main cause of mortality globally. Cardiovascular diseases, diabetes, chronic obstructive pulmonary disease and cancer are the four NCDs responsible for 82% of NCD deaths. Prevention of NCDs implies health promotion activities that encourage healthy lifestyle and limit the initial onset of chronic diseases. Prevention also includes early detection activities, such as screening at-risk populations, as well as strategies for appropriate management of existing diseases and related complications. Early intervention, reducing morbidity and mortality rates could be an appealing idea for patients, physicians and governmental institutions but could also cause harm. Healthcare is undergoing profound changes, and the role of technology in diagnostics and management of chronic diseases in primary healthcare (PHC) is increasing remarkably. However, studies show that the standards of care for chronic diseases and preventive care are met by less than 50%. We still lack clear standards for patients with multiple chronic diseases. The applicability of a single evidence-based guideline to multimorbid patients is limited and can be problematic. Well-designed PHC studies focusing on the impact of medical interventions on morbidity, mortality and quality of life in the fields of early diagnosis, early treatment and multimorbidity are still needed.",N,NA,cc by,NA
29384037,MED,29384037,10.1080/22423982.2017.1422668,Validation of cardiovascular diagnoses in the Greenlandic Hospital Discharge Register for epidemiological use.,"Tvermosegaard M, Rønn PF, Pedersen ML, Bjerregaard P, Dahl Pedersen I, Larsen CVL, Jørgensen ME.",2018,1422668,"a Centre for Health Research in Greenland, National Institute of Public Health , Faculty of Health Science, University of Southern Denmark , Copenhagen , Denmark.",eng,Print,Y,Y,N,Y,N,0,Y,Y,N,N,N,N,N,N,NA,2018-02-01,2018-02-07,NA,2018-12-01,PMC5795743,"Cardiovascular disease (CVD) is one of the leading causes of death worldwide. In Greenland, valid estimates of prevalence and incidence of CVD do not exist and can only be calculated if diagnoses of CVD in the Greenlandic Hospital Discharge Register (GHDR) are correct. Diagnoses of CVD in GHDR have not previously been validated specifically. The objective of the study was to validate diagnoses of CVD in GHDR. The study was conducted as a validation study with primary investigator comparing information in GHDR with information in medical records. Diagnoses in GHDR were considered correct and thus valid if they matched the diagnoses or the medical information in the medical records. A total of 432 online accessible medical records with a cardiovascular diagnosis according to GHDR from Queen Ingrid's Hospital from 2001 to 2013 (n=291) and from local health care centres from 2007 to 2013 (n=141) were reviewed. Ninety-nine and ninety-two percent of discharge diagnosis in GHDR from Queen Ingrid's Hospital and local health care centres were correct in comparison with diagnoses in the medical record indicating valid registration practice. The correctness of cardiovascular diagnoses in GHDR was considered high in terms of acceptable agreement between medical records and diagnoses in GHDR. Cardiovascular diagnoses are valid for epidemiological use.",N,NA,cc by,NA
